particle#	x_coord	y_coord	image_name
825	612	2288	06jul12a_00022gr_00037sq_00025hl_00004en
826	732	2504	06jul12a_00022gr_00037sq_00025hl_00004en
827	1476	2492	06jul12a_00022gr_00037sq_00025hl_00004en
828	1424	2048	06jul12a_00022gr_00037sq_00025hl_00004en
829	1704	2088	06jul12a_00022gr_00037sq_00025hl_00004en
830	3264	2780	06jul12a_00022gr_00037sq_00025hl_00004en
831	3588	2664	06jul12a_00022gr_00037sq_00025hl_00004en
832	672	1340	06jul12a_00022gr_00013sq_00003hl_00005en
833	432	1040	06jul12a_00022gr_00013sq_00003hl_00005en
834	1116	1244	06jul12a_00022gr_00013sq_00003hl_00005en
835	1280	1164	06jul12a_00022gr_00013sq_00003hl_00005en
836	1436	1124	06jul12a_00022gr_00013sq_00003hl_00005en
837	1532	1428	06jul12a_00022gr_00013sq_00003hl_00005en
838	1692	1356	06jul12a_00022gr_00013sq_00003hl_00005en
839	1296	1332	06jul12a_00022gr_00013sq_00003hl_00005en
840	1124	1436	06jul12a_00022gr_00013sq_00003hl_00005en
841	1004	1616	06jul12a_00022gr_00013sq_00003hl_00005en
842	1136	1920	06jul12a_00022gr_00013sq_00003hl_00005en
843	972	1776	06jul12a_00022gr_00013sq_00003hl_00005en
844	1200	1644	06jul12a_00022gr_00013sq_00003hl_00005en
845	1172	2108	06jul12a_00022gr_00013sq_00003hl_00005en
846	972	2076	06jul12a_00022gr_00013sq_00003hl_00005en
847	1016	2360	06jul12a_00022gr_00013sq_00003hl_00005en
848	708	2364	06jul12a_00022gr_00013sq_00003hl_00005en
849	572	2468	06jul12a_00022gr_00013sq_00003hl_00005en
850	428	2592	06jul12a_00022gr_00013sq_00003hl_00005en
851	348	2400	06jul12a_00022gr_00013sq_00003hl_00005en
852	176	2420	06jul12a_00022gr_00013sq_00003hl_00005en
853	3564	884	06jul12a_00022gr_00013sq_00003hl_00005en
854	3908	368	06jul12a_00022gr_00013sq_00003hl_00005en
855	3704	216	06jul12a_00022gr_00013sq_00003hl_00005en
856	3828	876	06jul12a_00022gr_00013sq_00003hl_00005en
857	3168	1176	06jul12a_00022gr_00013sq_00003hl_00005en
858	3072	1056	06jul12a_00022gr_00013sq_00003hl_00005en
859	2880	1424	06jul12a_00022gr_00013sq_00003hl_00005en
860	3108	1380	06jul12a_00022gr_00013sq_00003hl_00005en
861	3128	1556	06jul12a_00022gr_00013sq_00003hl_00005en
862	3248	1700	06jul12a_00022gr_00013sq_00003hl_00005en
863	3764	1524	06jul12a_00022gr_00013sq_00003hl_00005en
864	3816	1328	06jul12a_00022gr_00013sq_00003hl_00005en
